Unnamed: 0.1,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column,sample_index,sample_id,true_RTv,split,exclusion_reason
37,37,CCCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,4.2,1.0,0.1,10.1002/adsc.201900161,ODH,0,ODH_charity_0616:row:0,4.2,train,
38,38,CCCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,3.5,1.0,0.1,10.1002/adsc.201900161,ODH,1,ODH_charity_0616:row:1,3.5,train,
104,104,CO[C@H](NC(=O)C(C)(C)C)c1ccccc1CCCC(F)(F)F,4.93,1.0,0.1,10.1002/anie.201405401,ODH,2,ODH_charity_0616:row:2,4.93,train,
105,105,CO[C@@H](NC(=O)C(C)(C)C)c1ccccc1CCCC(F)(F)F,4.32,1.0,0.1,10.1002/anie.201405401,ODH,3,ODH_charity_0616:row:3,4.32,train,
108,108,O[C@@H](c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,7.6,1.0,0.15,10.1039/D1QO00368B,ODH,4,ODH_charity_0616:row:4,7.6,train,
109,109,O[C@H](c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,4.4,1.0,0.15,10.1039/D1QO00368B,ODH,5,ODH_charity_0616:row:5,4.4,train,
115,115,CC(C)c1cc(C(C)C)c(NC[C@@H]2CCc3cccc(C)c3N2)c(c1)C(C)C,4.9,1.0,0.05,10.1002/anie.201909919,ODH,6,ODH_charity_0616:row:6,4.9,train,
116,116,CC(C)c1cc(C(C)C)c(NC[C@H]2CCc3cccc(C)c3N2)c(c1)C(C)C,4.5,1.0,0.05,10.1002/anie.201909919,ODH,7,ODH_charity_0616:row:7,4.5,train,
119,119,CC1(C)COC(OC1)c2ccc(cc2)[C@]3(C)CC(C)(C)CN3C(=S)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,6.1,1.0,0.1,10.1002/anie.201501762,ODH,8,ODH_charity_0616:row:8,6.1,train,
120,120,CC1(C)COC(OC1)c2ccc(cc2)[C@@]3(C)CC(C)(C)CN3C(=S)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F,4.52,1.0,0.1,10.1002/anie.201501762,ODH,9,ODH_charity_0616:row:9,4.52,train,
