method,round,budget,split,validation_label_count,total_observed_non_test,rmse,mae,r2,nrmse
random,0,356,validation,247,603,7.918731533604954,5.340686309675456,0.1894853927685124,0.9203802775770276
random,0,356,test,247,603,8.186090743664685,5.379666902275703,0.02982813796539996,0.9514549696439687
random,1,388,validation,247,635,7.787348897625086,5.353506902934086,0.2161573812822748,0.9051099042276102
random,1,388,test,247,635,7.2935929553070515,5.067780031366387,0.2298441649770696,0.8477215170449603
random,2,420,validation,247,667,7.6157354202328245,5.241579300478885,0.2503245263440904,0.885163570741249
random,2,420,test,247,667,7.962231615718068,5.339873618925148,0.08216380738244011,0.9254362158267316
random,3,452,validation,247,699,7.382619828564854,5.18454213277531,0.2955168388676299,0.8580689543804864
random,3,452,test,247,699,8.280120830451764,5.7419496740889455,0.007412242439039818,0.9623839217129228
lcmd,0,356,validation,247,603,7.918731533604954,5.340686309675456,0.1894853927685124,0.9203802775770276
lcmd,0,356,test,247,603,8.186090743664685,5.379666902275703,0.02982813796539996,0.9514549696439687
lcmd,1,388,validation,247,635,7.937092945074772,5.313511894782063,0.18572230368141718,0.9225143922282921
lcmd,1,388,test,247,635,7.575656777717062,5.158455483826549,0.16912413068991916,0.8805053004151207
lcmd,2,420,validation,247,667,7.67726281770018,5.252277939908417,0.2381623641425813,0.8923147922366717
lcmd,2,420,test,247,667,7.6216835089230415,5.298554196531473,0.1589973061322285,0.8858549066574273
lcmd,3,452,validation,247,699,7.688727665242282,5.137296971039251,0.23588528329200176,0.8936473313584233
lcmd,3,452,test,247,699,8.110769990330995,5.550509087952525,0.0475992324056187,0.9427005705882132
maxdet,0,356,validation,247,603,7.918731533604954,5.340686309675456,0.1894853927685124,0.9203802775770276
maxdet,0,356,test,247,603,8.186090743664685,5.379666902275703,0.02982813796539996,0.9514549696439687
maxdet,1,388,validation,247,635,7.406472192401566,5.0193669979388895,0.29095728297498513,0.8608412727948356
maxdet,1,388,test,247,635,7.775295415928487,5.332037699849982,0.1247555553903773,0.90370894919048
maxdet,2,420,validation,247,667,7.1615347355597825,4.768480497815831,0.3370789452004901,0.8323726217791566
maxdet,2,420,test,247,667,8.190322305686646,5.518911727526892,0.02882487435556469,0.9519467966760923
maxdet,3,452,validation,247,699,6.967767571620617,4.735349816349354,0.3724664961246289,0.8098514041605497
maxdet,3,452,test,247,699,8.077731490222767,5.268815868779233,0.05534246914955887,0.9388605636664863
