sample_index,sample_id,source_index,role
0,ODH_charity_0616:row:0,37,u0
1,ODH_charity_0616:row:1,38,u0
2,ODH_charity_0616:row:2,104,u0
3,ODH_charity_0616:row:3,105,u0
4,ODH_charity_0616:row:4,108,u0
5,ODH_charity_0616:row:5,109,u0
6,ODH_charity_0616:row:6,115,u0
7,ODH_charity_0616:row:7,116,u0
8,ODH_charity_0616:row:8,119,u0
9,ODH_charity_0616:row:9,120,u0
10,ODH_charity_0616:row:10,123,u0
11,ODH_charity_0616:row:11,124,u0
12,ODH_charity_0616:row:12,125,u0
13,ODH_charity_0616:row:13,126,u0
14,ODH_charity_0616:row:14,158,u0
15,ODH_charity_0616:row:15,159,u0
16,ODH_charity_0616:row:16,176,u0
17,ODH_charity_0616:row:17,177,u0
18,ODH_charity_0616:row:18,180,u0
19,ODH_charity_0616:row:19,181,u0
20,ODH_charity_0616:row:20,187,test
21,ODH_charity_0616:row:21,188,u0
22,ODH_charity_0616:row:22,197,u0
23,ODH_charity_0616:row:23,198,u0
24,ODH_charity_0616:row:24,201,u0
25,ODH_charity_0616:row:25,202,u0
26,ODH_charity_0616:row:26,207,u0
27,ODH_charity_0616:row:27,208,u0
28,ODH_charity_0616:row:28,211,u0
29,ODH_charity_0616:row:29,212,u0
30,ODH_charity_0616:row:30,221,l0
31,ODH_charity_0616:row:31,222,u0
32,ODH_charity_0616:row:32,231,u0
33,ODH_charity_0616:row:33,232,u0
34,ODH_charity_0616:row:34,233,u0
35,ODH_charity_0616:row:35,234,u0
36,ODH_charity_0616:row:36,252,u0
37,ODH_charity_0616:row:37,253,u0
38,ODH_charity_0616:row:38,254,u0
39,ODH_charity_0616:row:39,255,u0
40,ODH_charity_0616:row:40,284,u0
41,ODH_charity_0616:row:41,285,u0
42,ODH_charity_0616:row:42,305,l0
43,ODH_charity_0616:row:43,306,l0
44,ODH_charity_0616:row:44,332,u0
45,ODH_charity_0616:row:45,333,u0
46,ODH_charity_0616:row:46,338,u0
47,ODH_charity_0616:row:47,339,u0
48,ODH_charity_0616:row:48,365,l0
49,ODH_charity_0616:row:49,366,u0
50,ODH_charity_0616:row:50,371,u0
51,ODH_charity_0616:row:51,372,l0
52,ODH_charity_0616:row:52,390,u0
53,ODH_charity_0616:row:53,391,test
54,ODH_charity_0616:row:54,402,u0
55,ODH_charity_0616:row:55,403,l0
56,ODH_charity_0616:row:56,404,u0
57,ODH_charity_0616:row:57,405,u0
58,ODH_charity_0616:row:58,406,u0
59,ODH_charity_0616:row:59,407,u0
60,ODH_charity_0616:row:60,414,u0
61,ODH_charity_0616:row:61,415,u0
62,ODH_charity_0616:row:62,416,u0
63,ODH_charity_0616:row:63,417,u0
64,ODH_charity_0616:row:64,422,u0
65,ODH_charity_0616:row:65,423,u0
66,ODH_charity_0616:row:66,426,u0
67,ODH_charity_0616:row:67,427,u0
68,ODH_charity_0616:row:68,428,u0
69,ODH_charity_0616:row:69,429,u0
70,ODH_charity_0616:row:70,440,u0
71,ODH_charity_0616:row:71,441,u0
72,ODH_charity_0616:row:72,442,u0
73,ODH_charity_0616:row:73,443,u0
74,ODH_charity_0616:row:74,454,u0
75,ODH_charity_0616:row:75,455,u0
76,ODH_charity_0616:row:76,456,test
77,ODH_charity_0616:row:77,457,u0
78,ODH_charity_0616:row:78,458,u0
79,ODH_charity_0616:row:79,459,u0
80,ODH_charity_0616:row:80,470,u0
81,ODH_charity_0616:row:81,471,u0
82,ODH_charity_0616:row:82,481,u0
83,ODH_charity_0616:row:83,482,u0
84,ODH_charity_0616:row:84,483,u0
85,ODH_charity_0616:row:85,484,u0
86,ODH_charity_0616:row:86,485,u0
87,ODH_charity_0616:row:87,486,u0
88,ODH_charity_0616:row:88,501,u0
89,ODH_charity_0616:row:89,502,u0
90,ODH_charity_0616:row:90,503,l0
91,ODH_charity_0616:row:91,504,u0
92,ODH_charity_0616:row:92,518,u0
93,ODH_charity_0616:row:93,519,u0
94,ODH_charity_0616:row:94,520,u0
95,ODH_charity_0616:row:95,521,u0
96,ODH_charity_0616:row:96,524,validation
97,ODH_charity_0616:row:97,532,u0
98,ODH_charity_0616:row:98,563,u0
99,ODH_charity_0616:row:99,564,u0
100,ODH_charity_0616:row:100,565,u0
101,ODH_charity_0616:row:101,566,validation
102,ODH_charity_0616:row:102,567,u0
103,ODH_charity_0616:row:103,588,u0
104,ODH_charity_0616:row:104,589,u0
105,ODH_charity_0616:row:105,608,l0
106,ODH_charity_0616:row:106,609,u0
107,ODH_charity_0616:row:107,614,test
108,ODH_charity_0616:row:108,615,u0
109,ODH_charity_0616:row:109,616,u0
110,ODH_charity_0616:row:110,617,validation
111,ODH_charity_0616:row:111,620,u0
112,ODH_charity_0616:row:112,621,u0
113,ODH_charity_0616:row:113,625,u0
114,ODH_charity_0616:row:114,644,u0
115,ODH_charity_0616:row:115,645,u0
116,ODH_charity_0616:row:116,651,u0
117,ODH_charity_0616:row:117,668,u0
118,ODH_charity_0616:row:118,669,u0
119,ODH_charity_0616:row:119,670,l0
120,ODH_charity_0616:row:120,671,test
121,ODH_charity_0616:row:121,701,l0
122,ODH_charity_0616:row:122,702,u0
123,ODH_charity_0616:row:123,705,u0
124,ODH_charity_0616:row:124,706,u0
125,ODH_charity_0616:row:125,711,u0
126,ODH_charity_0616:row:126,712,u0
127,ODH_charity_0616:row:127,727,u0
128,ODH_charity_0616:row:128,728,u0
129,ODH_charity_0616:row:129,729,u0
130,ODH_charity_0616:row:130,730,u0
131,ODH_charity_0616:row:131,731,test
132,ODH_charity_0616:row:132,732,u0
133,ODH_charity_0616:row:133,759,u0
134,ODH_charity_0616:row:134,760,validation
135,ODH_charity_0616:row:135,766,u0
136,ODH_charity_0616:row:136,767,l0
137,ODH_charity_0616:row:137,777,u0
138,ODH_charity_0616:row:138,778,u0
139,ODH_charity_0616:row:139,781,u0
140,ODH_charity_0616:row:140,782,test
141,ODH_charity_0616:row:141,790,u0
142,ODH_charity_0616:row:142,791,u0
143,ODH_charity_0616:row:143,838,u0
144,ODH_charity_0616:row:144,839,l0
145,ODH_charity_0616:row:145,849,validation
146,ODH_charity_0616:row:146,857,u0
147,ODH_charity_0616:row:147,858,u0
148,ODH_charity_0616:row:148,874,validation
149,ODH_charity_0616:row:149,875,u0
150,ODH_charity_0616:row:150,896,u0
151,ODH_charity_0616:row:151,897,u0
152,ODH_charity_0616:row:152,898,u0
153,ODH_charity_0616:row:153,899,u0
154,ODH_charity_0616:row:154,910,u0
155,ODH_charity_0616:row:155,926,l0
156,ODH_charity_0616:row:156,927,u0
157,ODH_charity_0616:row:157,941,u0
158,ODH_charity_0616:row:158,942,validation
159,ODH_charity_0616:row:159,951,u0
160,ODH_charity_0616:row:160,952,u0
161,ODH_charity_0616:row:161,957,l0
162,ODH_charity_0616:row:162,958,u0
163,ODH_charity_0616:row:163,963,l0
164,ODH_charity_0616:row:164,964,u0
165,ODH_charity_0616:row:165,972,u0
166,ODH_charity_0616:row:166,973,u0
167,ODH_charity_0616:row:167,978,u0
168,ODH_charity_0616:row:168,979,u0
169,ODH_charity_0616:row:169,995,u0
170,ODH_charity_0616:row:170,996,l0
171,ODH_charity_0616:row:171,997,u0
172,ODH_charity_0616:row:172,998,u0
173,ODH_charity_0616:row:173,999,u0
174,ODH_charity_0616:row:174,1000,u0
175,ODH_charity_0616:row:175,1001,l0
176,ODH_charity_0616:row:176,1002,l0
177,ODH_charity_0616:row:177,1003,u0
178,ODH_charity_0616:row:178,1004,u0
179,ODH_charity_0616:row:179,1016,u0
180,ODH_charity_0616:row:180,1017,l0
181,ODH_charity_0616:row:181,1028,u0
182,ODH_charity_0616:row:182,1029,u0
183,ODH_charity_0616:row:183,1038,l0
184,ODH_charity_0616:row:184,1039,u0
185,ODH_charity_0616:row:185,1040,u0
186,ODH_charity_0616:row:186,1041,u0
187,ODH_charity_0616:row:187,1046,u0
188,ODH_charity_0616:row:188,1047,u0
189,ODH_charity_0616:row:189,1048,u0
190,ODH_charity_0616:row:190,1049,u0
191,ODH_charity_0616:row:191,1062,u0
192,ODH_charity_0616:row:192,1063,u0
193,ODH_charity_0616:row:193,1070,u0
194,ODH_charity_0616:row:194,1071,u0
195,ODH_charity_0616:row:195,1072,u0
196,ODH_charity_0616:row:196,1073,l0
197,ODH_charity_0616:row:197,1092,validation
198,ODH_charity_0616:row:198,1112,u0
199,ODH_charity_0616:row:199,1113,u0
200,ODH_charity_0616:row:200,1124,u0
201,ODH_charity_0616:row:201,1145,u0
202,ODH_charity_0616:row:202,1146,u0
203,ODH_charity_0616:row:203,1151,u0
204,ODH_charity_0616:row:204,1152,u0
205,ODH_charity_0616:row:205,1153,validation
206,ODH_charity_0616:row:206,1154,u0
207,ODH_charity_0616:row:207,1164,u0
208,ODH_charity_0616:row:208,1165,u0
209,ODH_charity_0616:row:209,1182,u0
210,ODH_charity_0616:row:210,1183,u0
211,ODH_charity_0616:row:211,1184,u0
212,ODH_charity_0616:row:212,1185,u0
213,ODH_charity_0616:row:213,1186,u0
214,ODH_charity_0616:row:214,1187,u0
215,ODH_charity_0616:row:215,1232,u0
216,ODH_charity_0616:row:216,1249,u0
217,ODH_charity_0616:row:217,1250,u0
218,ODH_charity_0616:row:218,1253,u0
219,ODH_charity_0616:row:219,1254,u0
220,ODH_charity_0616:row:220,1255,l0
221,ODH_charity_0616:row:221,1256,u0
222,ODH_charity_0616:row:222,1283,u0
223,ODH_charity_0616:row:223,1284,u0
224,ODH_charity_0616:row:224,1296,test
225,ODH_charity_0616:row:225,1304,u0
226,ODH_charity_0616:row:226,1320,u0
227,ODH_charity_0616:row:227,1321,u0
228,ODH_charity_0616:row:228,1326,u0
229,ODH_charity_0616:row:229,1330,l0
230,ODH_charity_0616:row:230,1331,validation
231,ODH_charity_0616:row:231,1332,u0
232,ODH_charity_0616:row:232,1333,u0
233,ODH_charity_0616:row:233,1342,u0
234,ODH_charity_0616:row:234,1343,u0
235,ODH_charity_0616:row:235,1364,u0
236,ODH_charity_0616:row:236,1386,u0
237,ODH_charity_0616:row:237,1387,u0
238,ODH_charity_0616:row:238,1390,u0
239,ODH_charity_0616:row:239,1391,validation
240,ODH_charity_0616:row:240,1392,u0
241,ODH_charity_0616:row:241,1393,test
242,ODH_charity_0616:row:242,1394,u0
243,ODH_charity_0616:row:243,1395,u0
244,ODH_charity_0616:row:244,1408,u0
245,ODH_charity_0616:row:245,1423,u0
246,ODH_charity_0616:row:246,1424,u0
247,ODH_charity_0616:row:247,1425,u0
248,ODH_charity_0616:row:248,1426,l0
249,ODH_charity_0616:row:249,1427,u0
250,ODH_charity_0616:row:250,1430,test
251,ODH_charity_0616:row:251,1439,u0
252,ODH_charity_0616:row:252,1447,u0
253,ODH_charity_0616:row:253,1448,u0
254,ODH_charity_0616:row:254,1449,u0
255,ODH_charity_0616:row:255,1450,u0
256,ODH_charity_0616:row:256,1451,u0
257,ODH_charity_0616:row:257,1452,u0
258,ODH_charity_0616:row:258,1459,u0
259,ODH_charity_0616:row:259,1460,u0
260,ODH_charity_0616:row:260,1474,u0
261,ODH_charity_0616:row:261,1475,u0
262,ODH_charity_0616:row:262,1476,u0
263,ODH_charity_0616:row:263,1477,u0
264,ODH_charity_0616:row:264,1504,u0
265,ODH_charity_0616:row:265,1505,u0
266,ODH_charity_0616:row:266,1520,test
267,ODH_charity_0616:row:267,1521,l0
268,ODH_charity_0616:row:268,1532,l0
269,ODH_charity_0616:row:269,1533,u0
270,ODH_charity_0616:row:270,1534,u0
271,ODH_charity_0616:row:271,1535,u0
272,ODH_charity_0616:row:272,1581,u0
273,ODH_charity_0616:row:273,1582,u0
274,ODH_charity_0616:row:274,1583,u0
275,ODH_charity_0616:row:275,1584,u0
276,ODH_charity_0616:row:276,1585,test
277,ODH_charity_0616:row:277,1586,u0
278,ODH_charity_0616:row:278,1603,u0
279,ODH_charity_0616:row:279,1604,l0
280,ODH_charity_0616:row:280,1605,l0
281,ODH_charity_0616:row:281,1606,u0
282,ODH_charity_0616:row:282,1623,u0
283,ODH_charity_0616:row:283,1624,u0
284,ODH_charity_0616:row:284,1636,u0
285,ODH_charity_0616:row:285,1637,test
286,ODH_charity_0616:row:286,1638,u0
287,ODH_charity_0616:row:287,1639,u0
288,ODH_charity_0616:row:288,1640,u0
289,ODH_charity_0616:row:289,1641,u0
290,ODH_charity_0616:row:290,1642,u0
291,ODH_charity_0616:row:291,1643,u0
292,ODH_charity_0616:row:292,1666,u0
293,ODH_charity_0616:row:293,1667,l0
294,ODH_charity_0616:row:294,1670,u0
295,ODH_charity_0616:row:295,1671,u0
296,ODH_charity_0616:row:296,1672,l0
297,ODH_charity_0616:row:297,1673,u0
298,ODH_charity_0616:row:298,1681,u0
299,ODH_charity_0616:row:299,1682,u0
300,ODH_charity_0616:row:300,1683,u0
301,ODH_charity_0616:row:301,1684,l0
302,ODH_charity_0616:row:302,1685,u0
303,ODH_charity_0616:row:303,1712,u0
304,ODH_charity_0616:row:304,1713,validation
305,ODH_charity_0616:row:305,1728,u0
306,ODH_charity_0616:row:306,1729,l0
307,ODH_charity_0616:row:307,1732,u0
308,ODH_charity_0616:row:308,1733,u0
309,ODH_charity_0616:row:309,1736,u0
310,ODH_charity_0616:row:310,1737,u0
311,ODH_charity_0616:row:311,1748,u0
312,ODH_charity_0616:row:312,1749,u0
313,ODH_charity_0616:row:313,1750,validation
314,ODH_charity_0616:row:314,1751,u0
