method_A,method_B,split,budget,delta_rmse_A_minus_B,delta_mae_A_minus_B,delta_r2_A_minus_B,delta_nrmse_A_minus_B
raw_gradient_lcmd,unit_gradient_lcmd,validation,333,0.0,0.0,0.0,0.0
raw_gradient_lcmd,unit_gradient_lcmd,validation,365,0.12031747758652855,0.1779029774762355,-0.024331573160338515,0.013550424379440429
raw_gradient_lcmd,unit_gradient_lcmd,validation,397,-0.24014679885304435,-0.07867528311154182,0.04685504752615799,-0.027045871498449725
raw_gradient_lcmd,unit_gradient_lcmd,validation,429,-0.0676142536375064,-0.15023721084903574,0.013584331917580017,-0.007614869005447944
raw_gradient_lcmd,unit_gradient_lcmd,test,333,0.0,0.0,0.0,0.0
raw_gradient_lcmd,unit_gradient_lcmd,test,365,-0.7506948265534081,-0.500377264582677,0.16543827955227164,-0.08454493630764093
raw_gradient_lcmd,unit_gradient_lcmd,test,397,0.0013757620383367808,-0.05883884912560333,-0.00029147464365097964,0.00015494140866756378
raw_gradient_lcmd,unit_gradient_lcmd,test,429,-0.5846104079055197,-0.25071854436928476,0.12480563393902422,-0.06584013630156504
raw_gradient_maxdet,unit_gradient_maxdet,validation,333,0.0,0.0,0.0,0.0
raw_gradient_maxdet,unit_gradient_maxdet,validation,365,-0.1050457598836374,-0.39857192898568883,0.02191144340252671,-0.011830489254235022
raw_gradient_maxdet,unit_gradient_maxdet,validation,397,-0.12806756039453937,0.08969574322102059,0.026294441926764,-0.014423256100408177
raw_gradient_maxdet,unit_gradient_maxdet,validation,429,-0.15090179814855276,-0.2811535210744571,0.03213987937743212,-0.016994899207914194
raw_gradient_maxdet,unit_gradient_maxdet,test,333,0.0,0.0,0.0,0.0
raw_gradient_maxdet,unit_gradient_maxdet,test,365,0.0663573027355886,-0.12197200585956036,-0.014865353140629978,0.007473308373636467
raw_gradient_maxdet,unit_gradient_maxdet,test,397,-0.06531965545679697,0.08839693532781556,0.014027142173544394,-0.007356446208090506
raw_gradient_maxdet,unit_gradient_maxdet,test,429,-0.24468052092019743,-0.16437637468098654,0.05164981158968163,-0.027556469453631882
raw_gradient_lcmd,random,validation,333,0.0,0.0,0.0,0.0
raw_gradient_lcmd,random,validation,365,0.10255904306512686,0.09301895554731754,-0.020763860124211275,0.01155042962467634
raw_gradient_lcmd,random,validation,397,-0.4593455411414773,-0.04983117561108674,0.09092436829590289,-0.05173252584849419
raw_gradient_lcmd,random,validation,429,0.01305893646650702,0.029199479562550756,-0.002610044533827627,0.0014707267357567666
raw_gradient_lcmd,random,test,333,0.0,0.0,0.0,0.0
raw_gradient_lcmd,random,test,365,-0.4874141046822702,-0.5209479578110852,0.10555856130863073,-0.054893670474598144
raw_gradient_lcmd,random,test,397,0.052979258472685586,0.13317779008193575,-0.011184824696912177,0.0059666430016093175
raw_gradient_lcmd,random,test,429,-0.06268131992935544,-0.06016124115299082,0.012907893730283226,-0.007059310939222518
unit_gradient_lcmd,random,validation,333,0.0,0.0,0.0,0.0
unit_gradient_lcmd,random,validation,365,-0.01775843452140169,-0.08488402192891797,0.0035677130361272402,-0.0019999947547640895
unit_gradient_lcmd,random,validation,397,-0.21919874228843295,0.028844107500455074,0.0440693207697449,-0.024686654350044468
unit_gradient_lcmd,random,validation,429,0.08067319010401341,0.1794366904115865,-0.016194376451407644,0.00908559574120471
unit_gradient_lcmd,random,test,333,0.0,0.0,0.0,0.0
unit_gradient_lcmd,random,test,365,0.26328072187113793,-0.02057069322840821,-0.05987971824364091,0.029651265833042784
unit_gradient_lcmd,random,test,397,0.051603496434348806,0.19201663920753909,-0.010893350053261197,0.005811701592941754
unit_gradient_lcmd,random,test,429,0.5219290879761642,0.19055730321629394,-0.11189774020874099,0.058780825362342526
raw_gradient_maxdet,random,validation,333,0.0,0.0,0.0,0.0
raw_gradient_maxdet,random,validation,365,0.23595647846145962,-0.00772014754986472,-0.0481780328811241,0.026573948210738108
raw_gradient_maxdet,random,validation,397,-0.008470838857398633,0.5194185851556572,0.00172611217401486,-0.0009540048849931981
raw_gradient_maxdet,random,validation,429,0.438555348147041,0.24448112727176774,-0.09006450192498994,0.04939108764968825
raw_gradient_maxdet,random,test,333,0.0,0.0,0.0,0.0
raw_gradient_maxdet,random,test,365,0.04681151564300379,-0.08639344705743834,-0.010499955316927156,0.00527201796057708
raw_gradient_maxdet,random,test,397,0.11916388851610549,0.3432808105762186,-0.025271710397782976,0.013420504589088389
raw_gradient_maxdet,random,test,429,0.02459295043593901,0.04716478957821035,-0.005095472290666536,0.0027697132771908883
unit_gradient_maxdet,random,validation,333,0.0,0.0,0.0,0.0
unit_gradient_maxdet,random,validation,365,0.341002238345097,0.3908517814358241,-0.07008947628365081,0.03840443746497313
unit_gradient_maxdet,random,validation,397,0.11959672153714074,0.4297228419346366,-0.02456832975274914,0.013469251215414979
unit_gradient_maxdet,random,validation,429,0.5894571462955938,0.5256346483462249,-0.12220438130242206,0.06638598685760244
unit_gradient_maxdet,random,test,333,0.0,0.0,0.0,0.0
unit_gradient_maxdet,random,test,365,-0.01954578709258481,0.03557855880212202,0.004365397823702821,-0.002201290413059387
unit_gradient_maxdet,random,test,397,0.18448354397290245,0.25488387524840306,-0.03929885257132737,0.020776950797178895
unit_gradient_maxdet,random,test,429,0.26927347135613644,0.2115411642591969,-0.05674528388034816,0.03032618273082277
