method_A,method_B,from_budget,selected_overlap,selected_overlap_fraction,selected_jaccard,cumulative_acquired_overlap,cumulative_acquired_jaccard,same_predictor_and_candidate_pool
raw_gradient_lcmd,unit_gradient_lcmd,333,0,0.0,0.0,0,0.0,True
raw_gradient_lcmd,unit_gradient_lcmd,365,0,0.0,0.0,1,0.007874015748031496,False
raw_gradient_lcmd,unit_gradient_lcmd,397,0,0.0,0.0,3,0.015873015873015872,False
raw_gradient_maxdet,unit_gradient_maxdet,333,2,0.0625,0.03225806451612903,2,0.03225806451612903,True
raw_gradient_maxdet,unit_gradient_maxdet,365,0,0.0,0.0,2,0.015873015873015872,False
raw_gradient_maxdet,unit_gradient_maxdet,397,1,0.03125,0.015873015873015872,7,0.03783783783783784,False
raw_gradient_lcmd,random,333,0,0.0,0.0,0,0.0,True
raw_gradient_lcmd,random,365,0,0.0,0.0,1,0.007874015748031496,False
raw_gradient_lcmd,random,397,0,0.0,0.0,1,0.005235602094240838,False
unit_gradient_lcmd,random,333,1,0.03125,0.015873015873015872,1,0.015873015873015872,True
unit_gradient_lcmd,random,365,0,0.0,0.0,1,0.007874015748031496,False
unit_gradient_lcmd,random,397,0,0.0,0.0,2,0.010526315789473684,False
raw_gradient_maxdet,random,333,0,0.0,0.0,0,0.0,True
raw_gradient_maxdet,random,365,0,0.0,0.0,0,0.0,False
raw_gradient_maxdet,random,397,0,0.0,0.0,1,0.005235602094240838,False
unit_gradient_maxdet,random,333,0,0.0,0.0,0,0.0,True
unit_gradient_maxdet,random,365,1,0.03125,0.015873015873015872,1,0.007874015748031496,False
unit_gradient_maxdet,random,397,0,0.0,0.0,2,0.010526315789473684,False
