epoch,train_loss,validation_mse,train_seconds,validation_seconds,steps_per_epoch,observed_batch_sizes
1,314.09384762550184,224.95412239942843,0.6151792089949595,0.13066020898986608,2,"[256, 141]"
2,144.63614358589692,225.31662199927828,0.504254083003616,0.127602750013466,2,"[256, 141]"
3,127.73262496679196,265.5378840785068,0.4883538750000298,0.1251336249988526,2,"[256, 141]"
4,105.14074739701202,264.0605278218708,0.478661999994074,0.13457437499891967,2,"[256, 141]"
5,81.15876399119495,244.7250724874225,0.5371632919996046,0.14588045800337568,2,"[256, 141]"
6,76.56120670232124,225.1675042815418,0.6761295409960439,0.21188095799880102,2,"[256, 141]"
7,65.53481743377762,211.80839829755476,0.7669310409983154,0.25316791600198485,2,"[256, 141]"
8,58.83176065632318,160.58310865906643,0.8777663750079228,0.1711396659957245,2,"[256, 141]"
9,52.04594605875856,127.06123823345911,0.6400086670037126,0.1614472079963889,2,"[256, 141]"
10,47.24616025256871,103.93340873007683,0.5464682080055354,0.19055404201208148,2,"[256, 141]"
11,41.693452071182676,80.15510207610636,0.5905497909989208,0.19273945900204126,2,"[256, 141]"
12,33.67425696615608,84.36884873348174,0.5412720000022091,0.13147891600965522,2,"[256, 141]"
13,28.453883336833503,85.93619928900732,0.6018990830052644,0.14538425000500865,2,"[256, 141]"
14,25.209340943497434,88.0533990039712,0.632685707998462,0.16154241700132843,2,"[256, 141]"
15,29.221953874871474,141.56238004056098,0.5668126669916091,0.15998741700605024,2,"[256, 141]"
16,32.959841980441695,74.7665497000859,0.5292155420029303,0.1483777499961434,2,"[256, 141]"
17,43.516467855919515,92.59129664663992,0.5249122090026503,0.12183404200186487,2,"[256, 141]"
18,36.47092266707336,94.67366730404153,0.4556836660049157,0.1231032499927096,2,"[256, 141]"
19,41.71204626049743,67.35505812881792,0.4445208749966696,0.12992229200608563,2,"[256, 141]"
20,31.128303835313925,70.68813054095111,0.49294183299934957,0.14334304200019687,2,"[256, 141]"
21,34.55352827403647,68.92555387313567,0.4651875419949647,0.126384125003824,2,"[256, 141]"
22,26.99799832649135,75.11025604564693,0.4366189169959398,0.12963183299871162,2,"[256, 141]"
23,25.15365993105795,66.1900274742576,0.5217951670056209,0.15152712499548215,2,"[256, 141]"
24,20.668449565205226,62.06677056240689,0.52550320798764,0.13770087499869987,2,"[256, 141]"
25,21.117540729436225,71.39643997825759,0.5039879999967525,0.13453216700872872,2,"[256, 141]"
26,15.742184650988062,78.00646049417264,0.5057056670048041,0.12163087500084657,2,"[256, 141]"
27,16.0621121428175,69.28345712942556,0.49541750000207685,0.14946483299718238,2,"[256, 141]"
28,13.140385322666889,69.52726307183778,0.4682527920085704,0.12132079199363943,2,"[256, 141]"
29,12.23679961966027,66.87632701891242,0.44638070900691673,0.12831091599946376,2,"[256, 141]"
30,12.637785157268533,68.76167664789594,0.48415054100041743,0.1570964999991702,2,"[256, 141]"
31,8.80660858442561,70.1236666560634,0.5113457499974174,0.1257581670070067,2,"[256, 141]"
32,9.45861623749625,67.51417547071752,0.44787987500603776,0.12395754200406373,2,"[256, 141]"
33,8.553310065185393,71.25861339642026,0.4905555830046069,0.14104616599797737,2,"[256, 141]"
34,7.246859992481299,75.73574129680709,0.5253464169945801,0.14490445899718907,2,"[256, 141]"
35,6.86286802195782,79.50164857656887,0.5108314170065569,0.13579037500312552,2,"[256, 141]"
36,7.172143006504934,73.64452932006427,0.5200354590051575,0.15253049999591894,2,"[256, 141]"
37,7.2909309713906545,70.76637093030487,0.4521410829911474,0.14393337500223424,2,"[256, 141]"
38,7.740065750006765,70.26423927058907,0.5196020419971319,0.1300561249954626,2,"[256, 141]"
39,7.470699906048907,65.92071925586575,0.44388608299777843,0.1299133749998873,2,"[256, 141]"
40,6.804017854877923,65.91803451025284,0.47311712500231806,0.13086079100321513,2,"[256, 141]"
41,6.3444439794314595,69.01063125191524,0.4755296250077663,0.1508047079987591,2,"[256, 141]"
42,6.403110887301659,68.56302203808106,0.4408379169908585,0.12859629100421444,2,"[256, 141]"
43,5.45719277168101,69.79128416957977,0.4433834579976974,0.12530037500255276,2,"[256, 141]"
44,5.1299458450874695,67.96657516407855,0.5446109580079792,0.1503613750101067,2,"[256, 141]"
45,4.768648241268898,67.51202401410562,0.5262370420095976,0.15063950000330806,2,"[256, 141]"
46,5.338359251430713,66.58139596293097,0.5245034580002539,0.13430554200022016,2,"[256, 141]"
47,4.694462916712917,67.08872752040183,0.5179567500017583,0.12464370900124777,2,"[256, 141]"
48,5.0916483107982415,67.61069335477556,0.532771790996776,0.1436423340055626,2,"[256, 141]"
49,5.423759094113366,69.21047422611056,0.4645955409941962,0.1251492080045864,2,"[256, 141]"
50,4.552763625416407,69.08563278982705,0.4437907079991419,0.12490262500068638,2,"[256, 141]"
51,4.724969112002279,70.94099920414203,0.5048225000064122,0.13965120899956673,2,"[256, 141]"
52,4.2864860503439335,71.18647962302683,0.5039956249966053,0.12351404198852833,2,"[256, 141]"
53,4.570817654319014,66.66081504937976,0.47441504200105555,0.13476541700947564,2,"[256, 141]"
54,3.316671632699462,68.62285795304146,0.5152417079953011,0.14169091600342654,2,"[256, 141]"
55,3.4547315436586623,68.29851882137119,0.5243002920033177,0.1488725419912953,2,"[256, 141]"
56,4.428729032088888,65.83654501626661,0.484060832997784,0.14598679200571496,2,"[256, 141]"
57,4.015931589477309,71.70881572878598,0.6497068749886239,0.13418312500289176,2,"[256, 141]"
58,4.711603896143455,65.04984370129544,0.5038400420016842,0.14717924999422394,2,"[256, 141]"
59,4.821577512947679,65.8802718970669,0.5061855419917265,0.12691487499978393,2,"[256, 141]"
60,3.537297065672406,70.2058666103505,0.48052529199048877,0.12867849999747705,2,"[256, 141]"
61,3.9445188207650363,71.1179862803213,0.5543248330068309,0.13695600000210106,2,"[256, 141]"
62,4.198735910939329,68.91260384017154,0.5147795000084443,0.12775904200680088,2,"[256, 141]"
63,4.120864939629581,69.63035302462718,0.4910506250016624,0.1507923339959234,2,"[256, 141]"
64,9.29742075634243,66.91759005941405,0.5365081670024665,0.15273549999983516,2,"[256, 141]"
65,2.6630674213246075,68.10461388358438,0.5342998340056511,0.15693774999817833,2,"[256, 141]"
66,5.827146148201201,73.2161836175669,0.5321620830072789,0.1589150840009097,2,"[256, 141]"
67,4.412397992400739,75.3525188102687,0.5124027079873485,0.1302217079937691,2,"[256, 141]"
68,4.165474251475683,69.75118825502372,0.5172840410086792,0.1541482089960482,2,"[256, 141]"
69,4.736580355041274,69.46884524881978,0.5094151660014177,0.13464195799315348,2,"[256, 141]"
70,3.5804055019349836,70.30671695966001,0.5193277499929536,0.12674995900306385,2,"[256, 141]"
71,3.2318102418625685,67.21753512568989,0.5107542499899864,0.14012170801288448,2,"[256, 141]"
72,6.548638363028654,67.83801945023318,0.6044564580079168,0.13768108299700543,2,"[256, 141]"
73,4.786745691179329,71.02633029585634,0.5453467080078553,0.14252345799468458,2,"[256, 141]"
74,5.623729505226654,74.10420501166796,0.6080973750067642,0.18697762499505188,2,"[256, 141]"
75,4.487758327791613,68.31756999253702,0.6355863749922719,0.15047720800794195,2,"[256, 141]"
76,3.9008682548849647,72.80485671955682,0.5930864999972982,0.149335541005712,2,"[256, 141]"
77,8.406501140642526,74.92951359996246,0.49636708400794305,0.1463015000044834,2,"[256, 141]"
78,4.58540495937357,73.34746584603126,0.6127136659924872,0.13186770799802616,2,"[256, 141]"
79,5.360499832431976,69.50391808758113,0.5135807499900693,0.1356502920098137,2,"[256, 141]"
80,2.8474047676441954,71.61406290883481,0.5472490829997696,0.14378749999741558,2,"[256, 141]"
81,3.165885953518846,68.90177172232994,0.7095182500052033,0.14626754200435244,2,"[256, 141]"
82,6.349163098659563,68.62375153432939,0.49757445900468156,0.13171212498855311,2,"[256, 141]"
83,3.264188055427609,69.57666240436718,0.7058534579991829,0.17483899999933783,2,"[256, 141]"
84,3.1271700546783525,67.75193168239839,0.67067183299514,0.21891816600691527,2,"[256, 141]"
85,3.0924271516295465,68.97081247449337,0.9272208330075955,0.1516346669959603,2,"[256, 141]"
86,2.096295619791641,71.57502460291487,0.5800355420069536,0.1427556669950718,2,"[256, 141]"
87,2.521359243080658,67.13882541442798,0.6295503750006901,0.19343104099971242,2,"[256, 141]"
88,2.931752752597146,65.43116353937408,0.7223479579988634,0.18990179100364912,2,"[256, 141]"
89,2.735960151446556,66.88370173728445,0.8288162910030223,0.1921727080043638,2,"[256, 141]"
90,3.1556532256849468,67.11127743077492,0.7443725830089534,0.19889366699499078,2,"[256, 141]"
91,2.177955575193506,68.5267268140844,0.7447288749972358,0.145940000002156,2,"[256, 141]"
92,2.0584482026640654,71.06044470440845,0.5903194169950439,0.16809279199515004,2,"[256, 141]"
93,2.7608510012590615,69.54491863057989,0.5072036250057863,0.15052266699785832,2,"[256, 141]"
94,1.763715365671691,69.22618878820816,0.5323610830091638,0.13027379199047573,2,"[256, 141]"
95,2.4161091637551335,69.93861972131411,0.48398775000532623,0.13090299999748822,2,"[256, 141]"
96,1.5250034317261627,71.69524512792893,0.501778000005288,0.15446137500111945,2,"[256, 141]"
97,2.957672854214531,71.50498141609881,0.7302523749967804,0.136690749990521,2,"[256, 141]"
98,2.288555620899729,70.61906675655413,0.4901070420019096,0.1297616670053685,2,"[256, 141]"
99,4.300421794055391,71.15441580076114,0.5442581249953946,0.14158899999165442,2,"[256, 141]"
100,2.790268705834069,70.73385399703028,0.5196284999983618,0.1497167920024367,2,"[256, 141]"
101,2.9835940416273603,66.77599136557399,0.5263830840121955,0.15232175000710413,2,"[256, 141]"
102,2.6556124062622226,65.45319059731018,0.5716363749961602,0.14075341699935962,2,"[256, 141]"
103,1.9927720113725447,66.53997694581142,1.2436557089968119,0.21730079199187458,2,"[256, 141]"
104,2.012269081336725,65.87379257872578,0.5833861249993788,0.15452937500958797,2,"[256, 141]"
105,2.5269972239093157,68.99248543965587,0.4601719589991262,0.14442483299353626,2,"[256, 141]"
106,6.763254413076252,75.22855195949323,0.4427374160004547,0.12193854199722409,2,"[256, 141]"
107,2.7573528986433593,75.32308426582672,0.45582324999850243,0.1347891250043176,2,"[256, 141]"
108,1.8250383841300792,68.8780255745605,0.5365023749909597,0.13984099999652244,2,"[256, 141]"
109,2.3646208032853058,71.72209021154345,0.533128792012576,0.14588054099294823,2,"[256, 141]"
110,1.640879124778344,71.97696463225174,0.5196495830023196,0.12204724999901373,2,"[256, 141]"
111,2.8297403249092006,68.97092474258403,0.5785843750054482,0.12411412500659935,2,"[256, 141]"
112,1.3953115234447067,68.48190167498926,0.5353206250001676,0.1455909159994917,2,"[256, 141]"
113,2.836732378534466,70.43054674815964,0.42746554099721834,0.11482350000005681,2,"[256, 141]"
114,2.1393077181328453,72.74950925205418,0.4414574999973411,0.12522579199867323,2,"[256, 141]"
115,3.107826823851924,69.8550804095507,0.48400945799949113,0.12813341699074954,2,"[256, 141]"
116,1.7182656133204923,67.89058981789388,0.48957900000095833,0.12199758399219718,2,"[256, 141]"
117,4.663223038392343,68.02843090706642,0.4275991670001531,0.12629445899801794,2,"[256, 141]"
118,4.671477673336001,69.30827564172779,0.49301824999565724,0.14497112500248477,2,"[256, 141]"
119,4.01988306814237,70.89117981434886,0.7893488750123652,0.26135633399826474,2,"[256, 141]"
120,6.2837964713723595,70.8074833563904,0.5726998749887571,0.16072966701176483,2,"[256, 141]"
121,3.2054946068252064,69.7253657606695,0.4739920829888433,0.14531666699622292,2,"[256, 141]"
122,6.933310287725415,68.17119566661482,0.5293928750033956,0.13187762499728706,2,"[256, 141]"
123,3.8830319519907763,70.03907484279999,0.49265379199641757,0.15393604199925903,2,"[256, 141]"
124,5.161201955089041,72.29217879876641,0.5887509159947513,0.2585482920112554,2,"[256, 141]"
