budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
333,0,0.9323326740288987,0.10500139837809018,2755,False,False
333,1,0.9271475727693361,0.10441744063623247,2769,False,False
333,2,0.6698365629752615,0.07543849717638025,3282,False,False
333,3,0.6178641744392582,0.06958525012696855,3382,False,False
333,4,1.316690655137212,0.14828865690540582,2003,False,False
333,5,1.458469819524173,0.16425614462325727,1779,False,False
333,6,2.6402819103006325,0.29735447487422123,485,True,False
333,7,2.407713861982737,0.27116213927161276,685,True,False
333,8,1.9147194322575842,0.21564000006559625,1152,False,False
333,9,1.8352278858775088,0.2066874836927913,1257,False,False
333,10,6.362514210103867,0.7165606310614704,13,True,False
333,11,6.063961689973477,0.6829369761406067,20,True,False
333,12,0.04136401812296285,0.004658508562913606,4114,False,False
333,13,0.2488191620286603,0.028022572504483645,3991,False,False
333,14,0.432257242660688,0.04868178087366147,3756,False,False
333,15,0.9165255378296212,0.10322116322007015,2789,False,False
333,16,0.2256214629316894,0.025409995564741418,4020,False,False
333,17,0.3156749384369854,0.0355520201019723,3912,False,False
333,18,2.176210937408275,0.2450897602956695,887,True,False
333,19,2.5284427382373074,0.28475889629243595,583,True,False
333,21,1.6102979752076223,0.18135537229596932,1542,False,False
333,22,1.3469223643949018,0.1516934198573464,1947,False,False
333,23,1.2410519971903553,0.13977006147579224,2159,False,False
333,24,1.2020478238669847,0.1353773239309013,2237,False,False
333,25,0.3368225372485327,0.03793371014610185,3885,False,False
333,26,0.5178370771668589,0.05831997392044398,3590,False,False
333,27,0.35982596249957466,0.04052440752926618,3853,False,False
333,28,0.10593125698416708,0.01193021592520269,4086,False,False
333,29,0.06365171428545079,0.0071685989296647,4106,False,False
333,30,0.5605267707029028,0.063127783023869,3513,False,False
333,32,0.3432019656009088,0.03865217568582996,3878,False,False
333,33,0.51940866593276,0.05849696977470469,3585,False,False
333,34,0.6499494067316652,0.07319876100332787,3324,False,False
333,35,0.37017169741348854,0.04168956741636493,3839,False,False
333,36,0.623919767406116,0.0702672445987282,3372,False,False
333,37,0.555596112815033,0.06257248126563174,3523,False,False
333,38,1.6328297325573367,0.18389294938142334,1501,False,False
333,39,1.2113111161851322,0.13642057670331284,2206,False,False
333,40,0.9514649700512675,0.10715612049873745,2717,False,False
333,41,1.4612049243309357,0.16456417826556188,1773,False,False
333,44,0.6014881560802711,0.06774094618326097,3414,False,False
333,45,0.7659538980696664,0.0862634471909232,3090,False,False
333,46,1.7633707315911895,0.19859476969304593,1330,False,False
333,47,1.4900615216509525,0.16781407302463078,1716,False,False
333,49,1.8076250411080692,0.20357878936002713,1284,False,False
333,50,0.23013855496257654,0.025918720607913052,4014,False,False
333,52,0.28869844109640297,0.03251386642248837,3944,False,False
333,54,1.1278937752775788,0.1270259285393427,2384,False,False
