method,budget,split,rmse,mae,r2,nrmse
random,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
random,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
random,365,validation,7.780393223097065,5.015982104699138,0.21755701529675753,0.8762453479467841
random,365,test,7.723159557069728,5.291978676792098,0.13645379476119257,0.8697995640173144
random,397,validation,7.7631099680882505,4.910645768227365,0.22102936975688547,0.8742988689752722
random,397,test,7.633499133788137,5.057636311179714,0.15638773180471122,0.8597018059037262
random,429,validation,7.651704063826966,4.96925519255974,0.24322646292936667,0.8617520859858262
random,429,test,7.566579843245152,4.9875384429205765,0.17111400110077923,0.8521652052018343
random,461,validation,7.859997825516954,4.987193972475616,0.20146407529257204,0.8852105969445481
random,461,test,7.571428419767443,5.06966077750511,0.17005137970116535,0.8527112627724477
random,493,validation,7.419919093068027,4.73279588714785,0.2883803254431925,0.835647942335532
random,493,test,7.597766985861143,5.042175903976688,0.1642670872966171,0.8556775712030653
raw_gradient_lcmd,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
raw_gradient_lcmd,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
raw_gradient_lcmd,365,validation,7.882952266162192,5.109001060246456,0.19679315517254625,0.8877957775714604
raw_gradient_lcmd,365,test,7.235745452387458,4.771030718981013,0.2420123560698233,0.8149058935427163
raw_gradient_lcmd,397,validation,7.4273719657510675,4.756009604284155,0.28695004720178185,0.8364873015851347
raw_gradient_lcmd,397,test,7.317668372437129,4.883315726330406,0.22475135943006752,0.8241322366754309
raw_gradient_lcmd,429,validation,7.737971528796987,4.891349233596431,0.22606611422417278,0.8714677215188401
raw_gradient_lcmd,429,test,7.0806583396150025,4.7485829094643535,0.274156748059184,0.7974396348078823
raw_gradient_lcmd,461,validation,7.609682496344356,4.863104669671309,0.2515157245825056,0.8570195227381537
raw_gradient_lcmd,461,test,6.768146519414193,4.552121872844001,0.33681442795451677,0.7622438521813151
raw_gradient_lcmd,493,validation,7.496290676651277,4.640156149381568,0.2736558481896224,0.8442490814953743
raw_gradient_lcmd,493,test,6.895496048459404,4.531373258544366,0.31162261625792487,0.7765862419795342
kernel_ivr,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
kernel_ivr,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
kernel_ivr,365,validation,7.462180805535656,4.6907810151335685,0.2802508801343009,0.8404075512504248
kernel_ivr,365,test,7.21998021915191,4.839124637094104,0.24531176285890965,0.8131303775905231
kernel_ivr,397,validation,7.535986277526749,4.667313419372929,0.2659429649636289,0.8487196891630981
kernel_ivr,397,test,7.1393801408524,4.681439092767383,0.2620675997407791,0.8040530158648417
kernel_ivr,429,validation,7.62522490151484,4.713248048234083,0.24845511698254763,0.8587699432935199
kernel_ivr,429,test,7.5005701629193,4.986574538806189,0.1855130665957211,0.8447310468442238
kernel_ivr,461,validation,7.937915983972857,4.814229764436421,0.1855534214546597,0.8939859148378496
kernel_ivr,461,test,7.107000619479687,4.752608102342861,0.2687459706837817,0.800406361491724
kernel_ivr,493,validation,7.459051176013569,4.820961178073033,0.2808544773385918,0.8400550853491661
kernel_ivr,493,test,7.039279876218749,5.096832823656831,0.28261543050114435,0.7927794993858681
hybrid_ensemble_latent,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
hybrid_ensemble_latent,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
hybrid_ensemble_latent,365,validation,8.15246684166331,5.366842993840515,0.14093170837686242,0.9181491139922513
hybrid_ensemble_latent,365,test,7.555969312181163,5.291346179328949,0.17343704646923486,0.8509702233779767
hybrid_ensemble_latent,397,validation,8.097583066246191,5.155040350278862,0.15245955753106688,0.9119679800176547
hybrid_ensemble_latent,397,test,7.348253955749644,4.815628642495344,0.21825721843081758,0.8275768537176993
hybrid_ensemble_latent,429,validation,8.026796014112492,5.214105243142317,0.16721276446092193,0.9039957833241912
hybrid_ensemble_latent,429,test,7.630873479400544,5.080840762327557,0.15696797770971005,0.8594060988132911
hybrid_ensemble_latent,461,validation,8.017083848307044,5.1093073914408205,0.16922683694668317,0.9029019774121393
hybrid_ensemble_latent,461,test,7.465657377357047,4.994550733913777,0.1930777788015855,0.8407990905721461
hybrid_ensemble_latent,493,validation,7.811083865215165,4.839564418985776,0.2113719705909819,0.8797017969475429
hybrid_ensemble_latent,493,test,7.138215828902691,4.785375130803962,0.2623082686603804,0.803921888439757
