budget,first,second,count,jaccard,shared_ids
333,random,raw_gradient_lcmd,0,0.0,
333,random,kernel_ivr,0,0.0,
333,random,hybrid_ensemble_latent,0,0.0,
333,raw_gradient_lcmd,kernel_ivr,5,0.0847457627118644,964;2292;2684;3419;3589
333,raw_gradient_lcmd,hybrid_ensemble_latent,0,0.0,
333,kernel_ivr,hybrid_ensemble_latent,0,0.0,
365,random,raw_gradient_lcmd,0,0.0,
365,random,kernel_ivr,0,0.0,
365,random,hybrid_ensemble_latent,0,0.0,
365,raw_gradient_lcmd,kernel_ivr,4,0.06666666666666667,976;1059;2664;4873
365,raw_gradient_lcmd,hybrid_ensemble_latent,1,0.015873015873015872,505
365,kernel_ivr,hybrid_ensemble_latent,0,0.0,
397,random,raw_gradient_lcmd,0,0.0,
397,random,kernel_ivr,1,0.015873015873015872,2967
397,random,hybrid_ensemble_latent,0,0.0,
397,raw_gradient_lcmd,kernel_ivr,0,0.0,
397,raw_gradient_lcmd,hybrid_ensemble_latent,0,0.0,
397,kernel_ivr,hybrid_ensemble_latent,1,0.015873015873015872,1406
429,random,raw_gradient_lcmd,0,0.0,
429,random,kernel_ivr,0,0.0,
429,random,hybrid_ensemble_latent,0,0.0,
429,raw_gradient_lcmd,kernel_ivr,1,0.015873015873015872,1079
429,raw_gradient_lcmd,hybrid_ensemble_latent,0,0.0,
429,kernel_ivr,hybrid_ensemble_latent,1,0.015873015873015872,19
461,random,raw_gradient_lcmd,0,0.0,
461,random,kernel_ivr,1,0.015873015873015872,3370
461,random,hybrid_ensemble_latent,0,0.0,
461,raw_gradient_lcmd,kernel_ivr,0,0.0,
461,raw_gradient_lcmd,hybrid_ensemble_latent,1,0.015873015873015872,718
461,kernel_ivr,hybrid_ensemble_latent,0,0.0,
