epoch,train_loss,validation_mse,train_seconds,validation_seconds,steps_per_epoch,observed_batch_sizes
1,317.31802537279106,215.71271547133531,0.8137350830074865,0.23382466699695215,2,"[256, 141]"
2,144.39727729393795,215.10787319893484,0.9461332499922719,0.19760366599075496,2,"[256, 141]"
3,129.43294974838756,265.9318412502748,0.8075455840153154,0.20296808300190605,2,"[256, 141]"
4,97.81347168122491,266.3421377925497,0.7877340419800021,0.22568262499407865,2,"[256, 141]"
5,80.18477376942671,262.69348698326445,0.8050375000166241,0.17481320799561217,2,"[256, 141]"
6,74.7579068969419,232.24323570517183,0.698733707977226,0.17344570899149403,2,"[256, 141]"
7,62.38187124026512,189.29986312815217,0.653081625001505,0.16753541701473296,2,"[256, 141]"
8,56.12590736946471,156.10433935557967,0.7633665839966852,0.19393929198849946,2,"[256, 141]"
9,50.335698701872936,84.72801078614819,0.8432041250052862,0.20546620897948742,2,"[256, 141]"
10,50.70856553661433,77.68914964600675,0.7199353750038426,0.1976681669766549,2,"[256, 141]"
11,41.62319763721687,81.47216128790434,0.8299245410016738,0.2127909999981057,2,"[256, 141]"
12,37.60686916668409,84.93679838573749,0.707316207990516,0.2114802919968497,2,"[256, 141]"
13,36.899592675850435,73.92928161599848,0.810891792003531,0.1858924999833107,2,"[256, 141]"
14,29.710818917685252,75.43434704164294,0.6466455839981791,0.17419945797882974,2,"[256, 141]"
15,33.000652515017414,67.0223644132255,0.7147889159969054,0.16608900000574067,2,"[256, 141]"
16,26.910442501231465,68.13960105538456,0.6823930829996243,0.18072379200020805,2,"[256, 141]"
17,23.082962233113403,115.3231757008229,0.7291665830125567,0.1747971669828985,2,"[256, 141]"
18,20.27385842830168,227.21486914353625,0.6592078339890577,0.16914033400826156,2,"[256, 141]"
19,22.37955901004205,167.5119116478431,0.6390419169911183,0.1607284579949919,2,"[256, 141]"
20,17.364197896770026,77.877528658639,0.6333340420096647,0.17209520799224265,2,"[256, 141]"
21,17.08539862356498,107.89363304716517,0.6834334169980139,0.17485349997878075,2,"[256, 141]"
22,17.220286309268673,172.06663808295772,0.6844655419990886,0.1821539589727763,2,"[256, 141]"
23,15.71784340164223,84.62789904411112,0.6566382920136675,0.16664350000792183,2,"[256, 141]"
24,13.924785784570036,61.26388520192633,0.6379362919833511,0.16562650000560097,2,"[256, 141]"
25,16.50810528041734,66.31528660489612,0.6574555409897584,0.1686145830026362,2,"[256, 141]"
26,16.316476884356675,62.513716851645135,0.7177814160240814,0.18330541599425487,2,"[256, 141]"
27,12.316435458377867,81.3349260414322,0.689577167009702,0.1736929579928983,2,"[256, 141]"
28,16.529618450616407,61.73461789067835,0.6747000000032131,0.19679529199493118,2,"[256, 141]"
29,12.018918344896447,69.97367376085634,0.7253852919966448,0.19070966698927805,2,"[256, 141]"
30,11.960110676378687,64.26462153958151,0.6628992090118118,0.1717737079889048,2,"[256, 141]"
31,9.319849081543891,67.70302761501439,0.6694519169977866,0.1854509999975562,2,"[256, 141]"
32,8.021593639171995,65.84178857511975,0.6445316669996828,0.16925000000628643,2,"[256, 141]"
33,8.146702651112745,64.64687692384037,0.6426686250197235,0.1700614580186084,2,"[256, 141]"
34,6.56215295863692,64.22586493070305,0.6793140829831827,0.17176995900808834,2,"[256, 141]"
35,8.772543635716666,63.162378286229796,0.6425746670283843,0.17981795797822997,2,"[256, 141]"
36,6.091611463417034,62.140876707275766,0.6713846669881605,0.18228604199248366,2,"[256, 141]"
37,5.906589874392493,65.41541186687142,0.6759619170043152,0.17976858399924822,2,"[256, 141]"
38,6.373628631947323,66.26220225529883,0.6636714590131305,0.17383154199342243,2,"[256, 141]"
39,5.134778646137613,64.43543376019963,0.7306435420177877,0.19161533398437314,2,"[256, 141]"
40,5.608280074986763,59.97400197662251,0.7479015840217471,0.19913558301050216,2,"[256, 141]"
