epoch,train_loss,validation_mse,train_seconds,validation_seconds,steps_per_epoch,observed_batch_sizes
1,322.5034040408492,164.60510713879933,1.573633041989524,0.4221842499973718,2,"[256, 237]"
2,175.26556820511576,182.1495670423805,1.6551544580142945,0.3302430000039749,2,"[256, 237]"
3,142.87109746410687,257.5729464167471,1.4699153750261758,0.35619649998261593,2,"[256, 237]"
4,105.28319907043333,264.4305086410863,1.4934581670095213,0.35312524999608286,2,"[256, 237]"
5,90.76284901462269,260.46281478307884,1.7011714999971446,0.3834622499998659,2,"[256, 237]"
6,84.91219821953145,249.35264328093012,1.6093597910075914,0.3653537500067614,2,"[256, 237]"
7,73.78847269982886,204.66829784815394,1.4211355839797761,0.42062049999367446,2,"[256, 237]"
8,69.32280172537597,146.19279579831542,1.5531812910048757,0.37720879100379534,2,"[256, 237]"
9,60.637717094189256,92.3439754362189,1.5541833750030492,0.39342354200198315,2,"[256, 237]"
10,50.96582517952755,88.64005332254163,1.4738516669895034,0.3607330410159193,2,"[256, 237]"
11,45.31289668208929,83.47845540200665,1.4734284580044914,0.3551154999877326,2,"[256, 237]"
12,38.75167915545419,85.04319116125504,1.6232789169880562,0.37668429099721834,2,"[256, 237]"
13,36.264436717932895,87.4665138739711,1.5402848329977132,0.3163898750208318,2,"[256, 237]"
14,34.1022588099234,89.88072057947493,1.4500791659811512,0.33446908299811184,2,"[256, 237]"
15,33.171390773316666,77.04005604280425,1.538199375005206,0.37390729199978523,2,"[256, 237]"
16,25.497959995850106,81.367731526492,1.5031947919924278,0.3510117919940967,2,"[256, 237]"
17,30.60238693500387,76.92516828682085,1.426324583007954,0.3867884580104146,2,"[256, 237]"
18,26.54702643496995,83.14694947255425,1.4447561670094728,0.33447716699447483,2,"[256, 237]"
19,21.0250815029802,84.82584822535813,1.5317089580057655,0.40795820800121874,2,"[256, 237]"
20,23.873105906086085,71.16205616427577,1.5116620829794556,0.3536747500183992,2,"[256, 237]"
21,20.773989141591905,74.53512891657387,1.3892732909880579,0.3728248339903075,2,"[256, 237]"
22,20.337965282416974,81.85135115471661,1.402894875005586,0.3918494579847902,2,"[256, 237]"
23,21.551700069744737,63.58133665819505,1.5726190829882398,0.3340275840018876,2,"[256, 237]"
24,17.789223146728762,72.10444081961795,1.4744387920072768,0.31034908298170194,2,"[256, 237]"
25,16.416803261329388,65.5705846043788,1.4752479169983417,0.31002500001341105,2,"[256, 237]"
26,17.09004999125947,63.578893796696455,1.5634204579982907,0.3622647500014864,2,"[256, 237]"
27,13.871428895915498,63.85810165035013,1.4410336250148248,0.35657100001117215,2,"[256, 237]"
28,12.741312050190707,63.4161156594847,1.3909946670173667,0.3675487079890445,2,"[256, 237]"
29,12.015887972307496,63.8539529621731,1.4042054589954205,0.4016525420011021,2,"[256, 237]"
30,9.727574002186618,64.86340331659869,1.5334502499899827,0.35494487499818206,2,"[256, 237]"
31,11.257881497272855,65.06417438786264,1.4829937919857912,0.3166089589940384,2,"[256, 237]"
32,9.019535821059655,88.30025326734459,1.4568979589967057,0.3588897919980809,2,"[256, 237]"
33,8.989494731895338,68.0251778194906,1.471725499985041,0.35499387502204627,2,"[256, 237]"
34,7.065266462175164,61.33457196083004,1.5289438339823391,0.38931625001714565,2,"[256, 237]"
35,8.31972125867801,62.50805312860319,1.4288731249980628,0.39108616701560095,2,"[256, 237]"
36,6.401506440392856,64.28845347185786,1.427614457992604,0.3741474999987986,2,"[256, 237]"
37,6.568485316108255,58.124824651848684,1.5767822919879109,0.3503549169981852,2,"[256, 237]"
38,5.687780786479462,59.38642061118719,1.3979236659943126,0.33901500000501983,2,"[256, 237]"
39,5.84821960553678,59.090720368884924,1.4688833330001216,0.3299663329962641,2,"[256, 237]"
40,5.406437716184233,61.19789738901696,1.511897083983058,0.3702932079904713,2,"[256, 237]"
41,4.363146101969009,60.91940959749222,1.692528042010963,0.3784932080016006,2,"[256, 237]"
42,5.027744780689417,60.116753915548756,1.4194840420095716,0.36958433300605975,2,"[256, 237]"
43,4.451075613861393,61.200875485582586,1.4103706660098396,0.36200495800585486,2,"[256, 237]"
44,3.9750069227470104,62.01137098660287,1.617037416988751,0.37480354102444835,2,"[256, 237]"
45,5.270260848573448,68.35852103366844,1.497539667005185,0.31126658301218413,2,"[256, 237]"
46,6.528066564525116,61.82848872777042,1.5203669169859495,0.33377687499159947,2,"[256, 237]"
47,5.917653507441584,70.68902592765326,1.5328865830088034,0.42235199999413453,2,"[256, 237]"
48,8.334063916854394,62.75500787172183,1.560176416998729,0.42877049997332506,2,"[256, 237]"
49,9.82154217307998,63.426689574852,1.3738682080002036,0.37985908301197924,2,"[256, 237]"
50,11.330459830727102,61.554353398478504,1.5453688339912333,0.3771060830040369,2,"[256, 237]"
51,7.13233802381442,62.31851053382845,1.5469731659977697,0.35076175001449883,2,"[256, 237]"
52,10.583874367797108,70.06536672537445,1.4693650840199552,0.3763835419958923,2,"[256, 237]"
53,9.47047174968294,56.49909715037236,1.6982966669893358,0.3400974170072004,2,"[256, 237]"
