method,budget,split,rmse,mae,r2,nrmse
random,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
random,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
random,365,validation,7.780393223097065,5.015982104699138,0.21755701529675753,0.8762453479467841
random,365,test,7.723159557069728,5.291978676792098,0.13645379476119257,0.8697995640173144
random,397,validation,7.7631099680882505,4.910645768227365,0.22102936975688547,0.8742988689752722
random,397,test,7.633499133788137,5.057636311179714,0.15638773180471122,0.8597018059037262
random,429,validation,7.651704063826966,4.96925519255974,0.24322646292936667,0.8617520859858262
random,429,test,7.566579843245152,4.9875384429205765,0.17111400110077923,0.8521652052018343
raw_gradient_lcmd,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
raw_gradient_lcmd,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
raw_gradient_lcmd,365,validation,7.882952266162192,5.109001060246456,0.19679315517254625,0.8877957775714604
raw_gradient_lcmd,365,test,7.235745452387458,4.771030718981013,0.2420123560698233,0.8149058935427163
raw_gradient_lcmd,397,validation,7.4273719657510675,4.756009604284155,0.28695004720178185,0.8364873015851347
raw_gradient_lcmd,397,test,7.317668372437129,4.883315726330406,0.22475135943006752,0.8241322366754309
raw_gradient_lcmd,429,validation,7.737971528796987,4.891349233596431,0.22606611422417278,0.8714677215188401
raw_gradient_lcmd,429,test,7.0806583396150025,4.7485829094643535,0.274156748059184,0.7974396348078823
latent_coreset,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
latent_coreset,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
latent_coreset,365,validation,8.127217213908462,5.220329307351518,0.14624483980917136,0.915305444241487
latent_coreset,365,test,7.651525485548801,5.3024965751508955,0.15239868116472854,0.8617319740993187
latent_coreset,397,validation,8.052482200978645,5.109760924389488,0.16187430689812776,0.9068886193419315
latent_coreset,397,test,7.685815671335644,5.29730125839411,0.14478463542138942,0.865593811787259
latent_coreset,429,validation,7.787494552115948,5.103635955918656,0.2161280590400675,0.8770451155598866
latent_coreset,429,test,7.541733555524275,5.325256152674254,0.17654866962782612,0.8493669605109959
morgan_coreset,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
morgan_coreset,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
morgan_coreset,365,validation,8.065800581933374,5.4793489162738505,0.15909958276605263,0.9083885652982773
morgan_coreset,365,test,8.056079061408406,5.518272829441889,0.060400006956973895,0.9072937058367163
morgan_coreset,397,validation,8.197163169772915,5.105447421672373,0.13148611201742044,0.9231829147852599
morgan_coreset,397,test,7.511455900848783,5.043064507395632,0.1831471863945039,0.8459570230829776
morgan_coreset,429,validation,8.16391453579751,5.550767941030896,0.13851740705383675,0.9194383790000958
morgan_coreset,429,test,7.303519521740168,5.089243570320037,0.22774637708993317,0.8225387613527183
